============================================
Creation du log: 03/01/2013 11:31
============================================


03/01/2013 17:44 | 8.25 mb | Back Office | - >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Ticket.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
03/01/2013 17:44 | 8.25 mb | Back Office | - >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
03/01/2013 17:45 | 12 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
03/01/2013 17:51 | 8.25 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "DefaultAjax" ne possède pas de méthode qui a pour nom ticketAddController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
03/01/2013 18:14 | 9.25 mb | Back Office | - >> Notice : FwkErrorHandler 8 - Undefined variable: _SESSION in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 423
03/01/2013 18:14 | 9.25 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Undefined variable: _SESSION in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 423
03/01/2013 18:15 | 9.25 mb | Back Office | - >> Notice : FwkErrorHandler 8 - Undefined variable: _SESSION in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 423
03/01/2013 18:15 | 9.25 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Undefined variable: _SESSION in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 423
03/01/2013 18:16 | 8.25 mb | Back Office | - >> Notice : FwkErrorHandler 8 - Undefined variable: idUser in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 444
03/01/2013 18:16 | 8.25 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Undefined variable: idUser in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 444
03/01/2013 18:18 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - DateTime::__construct() [<a href='datetime.--construct'>datetime.--construct</a>]: Failed to parse time string (1357233481) at position 7 (4): Unexpected character in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 435
03/01/2013 18:18 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - DateTime::__construct() [<a href='datetime.--construct'>datetime.--construct</a>]: Failed to parse time string (1357233488) at position 7 (4): Unexpected character in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 435
03/01/2013 22:43 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridController" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
03/01/2013 22:44 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridController" ne possède pas de méthode qui a pour nom articlesGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
03/01/2013 22:44 | 9 mb | Back Office | Florian M. >> Notice : FwkErrorHandler 8 - Undefined variable: client in file C:\wamp\www\AstridV1\gestion\controllers\ajax\AstridAjax.php on line 98
03/01/2013 22:44 | 9 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Undefined variable: client in file C:\wamp\www\AstridV1\gestion\controllers\ajax\AstridAjax.php on line 98
